
[STANDBY-SENTRY] 17:55:59 | Intent: ACTIVE | Load Delta: 0.13
[STANDBY-SENTRY] 17:56:59 | Intent: ACTIVE | Load Delta: 0.10
[STANDBY-SENTRY] 17:57:59 | Intent: ACTIVE | Load Delta: 0.25
[STANDBY-SENTRY] 17:58:59 | Intent: ACTIVE | Load Delta: 0.13
[STANDBY-SENTRY] 17:59:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 18:00:59 | Intent: ACTIVE | Load Delta: 0.19
[STANDBY-SENTRY] 18:01:59 | Intent: ACTIVE | Load Delta: 0.17
[STANDBY-SENTRY] 18:02:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 18:03:59 | Intent: ACTIVE | Load Delta: 0.10
[STANDBY-SENTRY] 18:04:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 18:05:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 18:06:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 18:07:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 18:08:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 18:09:59 | Intent: ACTIVE | Load Delta: 0.67
[STANDBY-SENTRY] 18:10:59 | Intent: ACTIVE | Load Delta: 0.32
[STANDBY-SENTRY] 18:11:59 | Intent: ACTIVE | Load Delta: 0.12
[STANDBY-SENTRY] 18:12:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 18:13:59 | Intent: ACTIVE | Load Delta: 0.15
[STANDBY-SENTRY] 18:14:59 | Intent: ACTIVE | Load Delta: 0.05
[STANDBY-SENTRY] 18:15:59 | Intent: ACTIVE | Load Delta: 0.12
[STANDBY-SENTRY] 18:16:59 | Intent: ACTIVE | Load Delta: 0.04
[STANDBY-SENTRY] 18:17:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 18:18:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 18:19:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 18:20:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 18:21:59 | Intent: ACTIVE | Load Delta: 0.13
[STANDBY-SENTRY] 18:22:59 | Intent: ACTIVE | Load Delta: 0.05
